Destination,Budget_Min,Budget_Max,Start_Date,End_Date,Travel_Type,Activities,Accommodation_Type,Cuisine,Past_Travel_History,Language,Geographical_Features,Cost,Weather_Conditions,Accessibility,Accommodation_Options,Cultural_Highlights,Local_Cuisine,User_Reviews,Special_Features,Tourist_Spots
Manali,165595,165314,2024-10-07,2024-11-01,Couple,Adventure,Villa,South Indian,Delhi,English,Andaman,0-10000,Moderate,High,Hostel,Appear magazine student.,Seafood,1,Ever strong strategy result follow.,"Solang Valley, Rohtang Pass"
Kerala,22711,55095,2024-04-19,2024-12-25,Solo,"Relaxation, Cultural",Homestay,North Indian,Mumbai,English,Rishikesh,170000-180000,Snowy,Medium,Hostel,Happen weight who serious tell.,Seafood,5,Beautiful wide policy.,"Munnar, Alleppey, Varkala"
Kerala,28734,126378,2024-03-03,2024-04-26,Solo,"Cultural, Food-related",Hostel,Street Food,Goa,English,Kerala,80000-90000,Snowy,High,Resort,Difference week stop story put.,Vegetarian,1,Firm trade right sort commercial.,"Fort Kochi, Thekkady"
Varanasi,90029,110194,2024-04-19,2024-11-07,Family,Adventure,Resort,Seafood,Kerala,English,Goa,60000-70000,Snowy,Low,Hotel,Eat sit such kind for.,Street Food,4,Life board agency without.,Kashi Vishwanath Temple
Kerala,118485,135432,2024-01-13,2024-02-11,Couple,"Food-related, Adventure",Hotel,Seafood,"Jaipur, Goa",English,Andaman,170000-180000,Moderate,High,Homestay,Yourself forward heavy.,North Indian,5,Develop before sure specific manager.,Periyar Wildlife Sanctuary
Jaipur,80638,67386,2024-08-29,2025-01-04,Family,"Relaxation, Nature, Food-related",Villa,South Indian,Varanasi,English,Leh,170000-180000,Moderate,Medium,Hotel,Main author claim opportunity laugh.,Street Food,2,Eat team type create piece.,"Solang Valley, Rohtang Pass"
Delhi,131012,66800,2024-03-06,2024-05-02,Family,Nature,Homestay,South Indian,Goa,English,Kerala,130000-140000,Tropical,High,Hostel,Type wonder glass.,Vegetarian,3,Task certain TV suggest media product.,"Munnar, Alleppey, Varkala"
Kerala,154751,37847,2024-10-22,2024-11-18,Couple,Adventure,Hostel,Vegetarian,"Jaipur, Kerala, Delhi",English,Rishikesh,100000-110000,Snowy,Medium,Villa,Help hand enjoy I.,Street Food,4,Full peace attorney.,"Fort Kochi, Thekkady"
Goa,165641,88209,2024-02-07,2024-03-08,Solo,"Adventure, Cultural",Hotel,Street Food,"Andaman, Leh, Kerala",English,Andaman,170000-180000,Tropical,Medium,Hostel,Note meeting role statement trip.,Street Food,3,Where various professor inside.,Kashi Vishwanath Temple
Rishikesh,184550,163807,2024-05-25,2024-08-24,Couple,Cultural,Villa,South Indian,"Goa, Leh, Andaman",English,Mumbai,140000-150000,Moderate,Low,Villa,Wish industry design.,Street Food,4,Ability third road PM these.,Periyar Wildlife Sanctuary
